, ,1,2,3,4,5,6,7,8,9,10,11,12,13.0000,14,15,16,17.0000,18,19,20.0000,21,22,23.0000,24,25,26.0000,,
,,,ID SP,DESCRIPTION,FUEL,CD GZ,MPAN,METER CATEGORY,ETFV DT,RATE CD,RATE,SC DESCRIPTION,SC EX VAT,SC INC VAT,Change,UR1 DESCRIPTION,UR 1 EX VAT,UR 1 INC VAT,UR2 DESCRIPTION,UR 2 EX VAT,UR 2 INC VAT,UR3 DESCRIPTION,UR 3 EX VAT,UR 3 INC VAT,UR4 DESCRIPTION,UR 4 EX VAT,UR 4 INC VAT,,RATE TYPE
1,2 Rate_J,2 Rate_J1,,2 Rate,Electric,_J,,2 Rate,,,Direct Debit,Standing Charge,0.4604,0.483420,,Peak,0.2930,0.307650,Off peak ,0.1990,0.208950,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_H,2 Rate_H1,,2 Rate,Electric,_H,,2 Rate,,,Direct Debit,Standing Charge,0.4315,0.453075,,Peak,0.2841,0.298305,Off peak ,0.2019,0.211995,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_K,2 Rate_K1,,2 Rate,Electric,_K,,2 Rate,,,Direct Debit,Standing Charge,0.4880,0.512400,,Peak,0.2913,0.305865,Off peak ,0.2004,0.210420,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_L,2 Rate_L1,,2 Rate,Electric,_L,,2 Rate,,,Direct Debit,Standing Charge,0.5213,0.547365,,Peak,0.2918,0.306390,Off peak ,0.1983,0.208215,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_M,2 Rate_M1,,2 Rate,Electric,_M,,2 Rate,,,Direct Debit,Standing Charge,0.5560,0.583800,,Peak,0.2684,0.281820,Off peak ,0.2031,0.213255,,,,,,,,Live Run SVT Direct Debit 
1,THTC_P,THTC_P1,,THTC,Electric,_P,,THTC,,,Direct Debit,Standing Charge,0.5873,0.616665,,Anytime,0.2844,0.298620,Heating,0.2271,0.238455,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_A,Flex Rate_A1,,Flex Rate,Electric,_A,,Flex Rate,,,Direct Debit,Standing Charge,0.4664,0.489720,,Anytime,0.2745,0.288225,Heating,0.2157,0.226485,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_B,Flex Rate_B1,,Flex Rate,Electric,_B,,Flex Rate,,,Direct Debit,Standing Charge,0.4675,0.490875,,Anytime,0.2641,0.277305,Heating,0.2105,0.221025,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_C,Flex Rate_C1,,Flex Rate,Electric,_C,,Flex Rate,,,Direct Debit,Standing Charge,0.4383,0.460215,,Anytime,0.2597,0.272685,Heating,0.2180,0.228900,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_D,Flex Rate_D1,,Flex Rate,Electric,_D,,Flex Rate,,,Direct Debit,Standing Charge,0.6590,0.691950,,Anytime,0.2849,0.299145,Heating,0.2242,0.235410,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_E,Flex Rate_E1,,Flex Rate,Electric,_E,,Flex Rate,,,Direct Debit,Standing Charge,0.5052,0.530460,,Anytime,0.2633,0.276465,Heating,0.2139,0.224595,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_F,Flex Rate_F1,,Flex Rate,Electric,_F,,Flex Rate,,,Direct Debit,Standing Charge,0.5660,0.594300,,Anytime,0.2612,0.274260,Heating,0.2116,0.222180,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_G,Flex Rate_G1,,Flex Rate,Electric,_G,,Flex Rate,,,Direct Debit,Standing Charge,0.4856,0.509880,,Anytime,0.2813,0.295365,Heating,0.2163,0.227115,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_P,Flex Rate_P1,,Flex Rate,Electric,_P,,Flex Rate,,,Direct Debit,Standing Charge,0.5873,0.616665,,Anytime,0.2701,0.283605,Heating,0.2127,0.223335,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_N,Flex Rate_N1,,Flex Rate,Electric,_N,,Flex Rate,,,Direct Debit,Standing Charge,0.5456,0.572880,,Anytime,0.2583,0.271215,Heating,0.2044,0.214620,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_J,Flex Rate_J1,,Flex Rate,Electric,_J,,Flex Rate,,,Direct Debit,Standing Charge,0.4604,0.483420,,Anytime,0.2796,0.293580,Heating,0.2154,0.226170,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_H,Flex Rate_H1,,Flex Rate,Electric,_H,,Flex Rate,,,Direct Debit,Standing Charge,0.4315,0.453075,,Anytime,0.2720,0.285600,Heating,0.2167,0.227535,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_K,Flex Rate_K1,,Flex Rate,Electric,_K,,Flex Rate,,,Direct Debit,Standing Charge,0.4880,0.512400,,Anytime,0.2781,0.292005,Heating,0.2165,0.227325,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_L,Flex Rate_L1,,Flex Rate,Electric,_L,,Flex Rate,,,Direct Debit,Standing Charge,0.5213,0.547365,,Anytime,0.2786,0.292530,Heating,0.2144,0.225120,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_M,Flex Rate_M1,,Flex Rate,Electric,_M,,Flex Rate,,,Direct Debit,Standing Charge,0.5560,0.583800,,Anytime,0.2581,0.271005,Heating,0.2157,0.226485,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate (Heating)_P,2 Rate (Heating)_P1,,2 Rate (Heating),Electric,_P,,2 Rate (Heating),,,Direct Debit,Standing Charge,0.5873,0.616665,,Anytime,0.2636,0.276780,Heating,0.2207,0.231735,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate (Heating)_N,2 Rate (Heating)_N1,,2 Rate (Heating),Electric,_N,,2 Rate (Heating),,,Direct Debit,Standing Charge,0.5456,0.572880,,Anytime,0.2501,0.262605,Heating,0.2145,0.225225,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate (Heating)_K,2 Rate (Heating)_K1,,2 Rate (Heating),Electric,_K,,2 Rate (Heating),,,Direct Debit,Standing Charge,0.4880,0.512400,,Anytime,0.2691,0.282555,Heating,0.2275,0.238875,,,,,,,,Live Run SVT Direct Debit 
1,Superdeal_H,Superdeal_H1,,Superdeal,Electric,_H,,Superdeal,,,Direct Debit,Standing Charge,0.4315,0.453075,,Peak,0.3007,0.315735,Off peak ,0.2244,0.235620,Heating,0.2229,0.234045,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_A,3 Rate (Heating)_A1,,3 Rate (Heating),Electric,_A,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.4664,0.489720,,Peak,0.3135,0.329175,Off peak ,0.2168,0.227640,Heating,0.2326,0.244230,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_B,3 Rate (Heating)_B1,,3 Rate (Heating),Electric,_B,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.4675,0.490875,,Peak,0.3000,0.315000,Off peak ,0.2105,0.221025,Heating,0.2261,0.237405,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_C,3 Rate (Heating)_C1,,3 Rate (Heating),Electric,_C,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.4383,0.460215,,Peak,0.2871,0.301455,Off peak ,0.2170,0.227850,Heating,0.2307,0.242235,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_D,3 Rate (Heating)_D1,,3 Rate (Heating),Electric,_D,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.6590,0.691950,,Peak,0.3260,0.342300,Off peak ,0.2243,0.235515,Heating,0.2417,0.253785,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_E,3 Rate (Heating)_E1,,3 Rate (Heating),Electric,_E,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.5052,0.530460,,Peak,0.2954,0.310170,Off peak ,0.2155,0.226275,Heating,0.2281,0.239505,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_F,3 Rate (Heating)_F1,,3 Rate (Heating),Electric,_F,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.5660,0.594300,,Peak,0.2931,0.307755,Off peak ,0.2140,0.224700,Heating,0.2258,0.237090,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_G,3 Rate (Heating)_G1,,3 Rate (Heating),Electric,_G,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.4856,0.509880,,Peak,0.3239,0.340095,Off peak ,0.2166,0.227430,Heating,0.2355,0.247275,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_P,3 Rate (Heating)_P1,,3 Rate (Heating),Electric,_P,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.5873,0.616665,,Peak,0.3092,0.324660,Off peak ,0.2138,0.224490,Heating,0.2288,0.240240,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_N,3 Rate (Heating)_N1,,3 Rate (Heating),Electric,_N,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.5456,0.572880,,Peak,0.2935,0.308175,Off peak ,0.2062,0.216510,Heating,0.2199,0.230895,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_J,3 Rate (Heating)_J1,,3 Rate (Heating),Electric,_J,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.4604,0.483420,,Peak,0.3206,0.336630,Off peak ,0.2204,0.231420,Heating,0.2332,0.244860,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_H,3 Rate (Heating)_H1,,3 Rate (Heating),Electric,_H,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.4315,0.453075,,Peak,0.3077,0.323085,Off peak ,0.2194,0.230370,Heating,0.2324,0.244020,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_K,3 Rate (Heating)_K1,,3 Rate (Heating),Electric,_K,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.4880,0.512400,,Peak,0.3177,0.333585,Off peak ,0.2197,0.230685,Heating,0.2340,0.245700,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_L,3 Rate (Heating)_L1,,3 Rate (Heating),Electric,_L,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.5213,0.547365,,Peak,0.3202,0.336210,Off peak ,0.2196,0.230580,Heating,0.2319,0.243495,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_M,3 Rate (Heating)_M1,,3 Rate (Heating),Electric,_M,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.5560,0.583800,,Peak,0.2854,0.299670,Off peak ,0.2168,0.227640,Heating,0.2281,0.239505,,,,,Live Run SVT Direct Debit 
1,"3 Rate (E&W, Heating)_A","3 Rate (E&W, Heating)_A1",,"3 Rate (E&W, Heating)",Electric,_A,,"3 Rate (E&W, Heating)",,,Direct Debit,Standing Charge,0.4664,0.489720,,Peak,0.3497,0.367185,E&W,0.2350,0.246750,Heating,0.2116,0.222180,,,,,Live Run SVT Direct Debit 
